ID,"By agreeing to take part in this survey, you confirm that you have read, understood and agreed with the following statements. Please note that this survey will skip to the end if you disagree to take part: 
 
 _I agree that data gathered in this study will be stored anonymously and securely, and will be used for research purposes only. _
 
 _I understand that my participation is voluntary and that I am free to withdraw at any time without giving reason. _
 
 _I understand that all personal information will remain confidentially within OLIO's database, and that no personally identifiable information will be shared with any third party, and that no data will be made available that can allow me to be personally identified in the results of this research. _
 
 _I am 18 years of age or older. _
 
 I agree to take part in this survey:",How would you describe your gender?,What range best describes your age group?,Do you have any physical or mental health conditions or illnesses that are limiting your day to day activities?,Which of the following best describes your household?,"In general, how satisfied are you with your life?","Compared to others in my neighbourhood, I think my life overall is...",How often do you feel that you lack companionship?,How often do you feel isolated from others or left out?,To what extent are you able to turn to friends and family for help when you need it?,"How much do you agree with the following statement? 
 
 Generally, I borrow things and exchange favours with my neighbours.",Foodbank,Neighbours,Close family or friends,Community or faith group,None of the above,Other,"The next questions are about your household's diet in the past 12 months, since October of last year, and whether you were able to afford the food you needed. In the past 12 months, was the following statement true for you?
 
 We worried whether our food would run out before we got money to buy more.","The food that we bought just didn't last, and we didn't have money to get more.",We couldn't afford to eat balanced meals.,Did you or other adults in your household ever cut the size of your meals or skip meals because there wasn't enough money for food?,How often did this happen?,Did you ever eat less than you felt you should because there wasn't enough money for food?,Were you ever hungry but didn't eat because there wasn't enough money for food?,Did you lose weight because there wasn't enough money for food?,Did you or other adults in your household ever not eat for a whole day because there wasn't enough money for food?,How often did this happen?,"The next questions are about the food situation of your children. In the past 12 months, was the following statement true for you? 
 
 We relied on only a few kinds of low-cost food to feed our children because we were running out of money to buy food.","We couldn't feed our children a balanced meal, because we couldn't afford that.",The children were not eating enough because we just couldn't afford enough food.,Did you ever cut the size of any of the children's meals because there wasn't enough money for food?,Did any of the children ever skip meals because there wasn't enough money for food?,How often did this happen?,Were the children ever hungry but you just couldn't afford more food?,Did any of the children ever not eat for a whole day because there wasn't enough money for food?,household_food_security_label,Which of the following best describes the house you currently live in?,Other,Do you know the Energy Performance Certificate (EPC) rating for the house you currently live in?,Do you use a prepayment or pay-as-you-go meter to pay for your energy usage?,"The following questions are about challenges your household may have had paying energy bills or maintaining heating in your home in the past 12 months. 
 
 How frequently did your household reduce or forego expenses for basic household necessities, such as medicine or food, in order to pay an energy bill?","In the past year, how frequently did your household keep your home at a cold temperature that you felt was unsafe or unhealthy?","In the past year, how frequently did your household run behind on payments for energy bills, or receive a notice to disconnect?","In the last year, was there ever a time your household was unable to use your main source of heat because you could not afford to pay for gas or electricity?",About how many days over the past year has your household gone without heat because you could not afford to pay for gas or electricity?,"In the last year, was there ever a time your household was unable to use your main source of heat because the equipment was broken, and you couldn't afford to pay to repair or replace the equipment?","In the past year, did anyone in your household need medical attention because your home was too cold?",FS1,FS2,FS3,FS4,FS5,FS6,FS7,fuel-security_label,fuel-security_score,"In the past year, how often did you worry about making energy payments?","In the past year, how often did you worry about making rent/ mortgage payments?",Consider your grocery shopping habits in the past 12 months. How often have you avoided food that requires cooking to reduce energy usage?,Working full-time,Working part-time,Unemployed,Retired,Not working- looking after house/ children,Not working- long term sick or disabled,Student,Other,What is your annual household income before tax?,user_id,Start Date (UTC),Submit Date (UTC),response_time,survey_date,incentivised,lad_code,msoa_code,imd_decile
gl8syf6f989r4zquw4gl8r7nvz5315up,1,Female,35 to 39,No,Living with partner/ spouse (NO children or children have left home),10,Much better,Some of the time,Some of the time,To a large extent,Tend to agree,,Neighbours,Close family or friends,,,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Living in rented accommodation from Housing Association,,Don't know,No,Never,1 or 2 months,Never,0,,0,1,,,,,,,,Marginal fuel-security,0,1 or 2 months,Never,1 or 2 months,,Working part-time,,,,,,,"£24,301- £37,900 p.a.",2819172,22/11/2022 16:05,22/11/2022 16:11,6,22/11/2022,1,E09000005,E02000115,5
gm9v5v00uq8hg4ca65q6fw2kfsnok4ca,1,Male,25 to 29,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",7,The same,Some of the time,Some of the time,To a large extent,Tend to disagree,Foodbank,,,,,,Sometimes true,Sometimes true,Sometimes true,No,,Yes,No,No,No,,,,,,,,,,Low food security,Buying the house on a mortgage,,Don't know,No,Almost every month,Some months but not every month,Never,1,30,0,0,,,,,,,,Low fuel-security,0,Almost every month,Some months but not every month,1 or 2 months,,Working part-time,,,,,,,"£14,901- £24,300 p.a.",2501372,23/11/2022 11:45,23/11/2022 11:53,8,22/11/2022,1,E09000003,E02000036,9
gmut7mufrui0sozvrrygmut7mxm0uiea,1,Female,55 to 59,Yes,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",4,Worse,Hardly ever or never,Hardly ever or never,To some extent,Definitely agree,,,,,,Too Good to Go,Never true,Sometimes true,Sometimes true,No,,Yes,No,No,No,,,,,,,,,,Low food security,Buying the house on a mortgage,,Don't know,No,Some months but not every month,Almost every month,Some months but not every month,1,170,1,1,,,,,,,,Very low fuel-security,0,Almost every month,Some months but not every month,Some months but not every month,,,,Retired,,,,,"£14,901- £24,300 p.a.",726859,27/11/2022 15:32,27/11/2022 15:37,5,27/11/2022,1,E09000014,E02000430,6
go7alpblhj6sck03ag4go7alpougqlmy,1,Female,35 to 39,No,"Living with other adults that are non-family members, such as friends/ flatmates",9,Better,Some of the time,Some of the time,To a large extent,Tend to disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Renting from private landlord,,Don't know,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,Never,Never,Working full-time,,,,,,,,"£37,901- £58,900 p.a.",2523683,22/11/2022 15:32,22/11/2022 15:35,3,22/11/2022,1,E09000032,E02000945,3
go8f2dikhniwfscy47l8qgo8f2diw6z6,1,Female,35 to 39,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",4,Worse,Often,Often,To some extent,Tend to disagree,,,,,None of the above,,Sometimes true,Sometimes true,Never true,Yes,Only 1 or 2 months,Yes,No,No,No,,,,,,,,,,Low food security,Renting from private landlord,,Don't know,No,1 or 2 months,Never,1 or 2 months,0,,0,0,,,,,,,,High fuel-security,0,Almost every month,Some months but not every month,1 or 2 months,Working full-time,,,,,,,,"£24,301- £37,900 p.a.",658302,27/11/2022 16:13,27/11/2022 16:21,8,27/11/2022,1,E09000006,E02000152,2
gokau2bn2501kn84kgokadobu3mj13rc,1,Female,20 to 24,No,Living on my own (NO children or children have left home),6,The same,Often,Often,To a large extent,Tend to disagree,,,,,None of the above,,Never true,Never true,Often true,Yes,Only 1 or 2 months,Yes,No,No,No,,,,,,,,,,Low food security,Living in student accommodation/ student halls,,Don't know,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,Some months but not every month,Never,,Working part-time,,,,,Student,,"Less than £14,900 p.a.",5692826,27/11/2022 13:28,27/11/2022 13:33,5,27/11/2022,1,E09000011,E02006929,2
gpwe2d3yg21mx7qcbd9wegpwe2dtqwfi,1,Female,35 to 39,No,Living on my own (NO children or children have left home),8,Better,Some of the time,Hardly ever or never,To a large extent,Tend to disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Buying the house on a mortgage,,Don't know,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,Never,Never,Working full-time,,,,,,,,"More than £58,900 p.a.",2770680,22/11/2022 22:42,22/11/2022 22:46,4,22/11/2022,1,E09000022,E02000648,2
gq4nmqjwcrok55uomzagq4nmq8bsdanv,1,Female,20 to 24,Prefer not to say,Living on my own (NO children or children have left home),7,The same,Some of the time,Some of the time,To some extent,Tend to agree,,,,,None of the above,,Never true,Never true,Sometimes true,Yes,Some months but not every month,Yes,No,Yes,No,,,,,,,,,,Low food security,Renting from private landlord,,Don't know,Don't know,1 or 2 months,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,1 or 2 months,1 or 2 months,Working full-time,,,,,,,,"£37,901- £58,900 p.a.",4925479,22/11/2022 17:34,22/11/2022 17:42,8,22/11/2022,1,E09000030,E02000871,2
gr0dfmn65x4m8ic4gr0df3s1gq9d9je6,1,Female,60 to 64,No,Living with partner/ spouse (NO children or children have left home),10,The same,Hardly ever or never,Hardly ever or never,To a large extent,Tend to agree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Owning the house outright,,Don't know,No,Never,Almost every month,Never,0,,0,0,,,,,,,,Marginal fuel-security,0,Never,,Never,Working full-time,,,,,,,,Prefer not to say,5826138,27/11/2022 21:28,27/11/2022 21:33,5,27/11/2022,1,E09000024,E02000692,10
gr246m60d2euh48q21gr246m6gf7d18s,1,Female,45 to 49,Yes,Living with partner/ spouse (NO children or children have left home),8,The same,Some of the time,Hardly ever or never,To a large extent,Tend to disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Buying the house on a mortgage,,C,No,1 or 2 months,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,Never,Never,Working full-time,,,,,,,,"More than £58,900 p.a.",3461365,24/11/2022 21:50,24/11/2022 21:53,3,22/11/2022,1,E09000026,E02000764,7
gr924tx9yxfisgvxfgr924t4ctyrkrqm,1,Female,25 to 29,Yes,Living with partner/ spouse (NO children or children have left home),5,The same,Some of the time,Some of the time,To some extent,Tend to agree,Foodbank,,Close family or friends,,,,Often true,Sometimes true,Sometimes true,Yes,Some months but not every month,Yes,Yes,No,Yes,,,,,,,,,,Very low food security,Living in rented accommodation from Housing Association,,Don't know,Yes,Some months but not every month,Almost every month,Some months but not every month,1,150,0,0,,,,,,,,Low fuel-security,0,Some months but not every month,Some months but not every month,Some months but not every month,,,,,,Not working- long term sick or disabled,,,Prefer not to say,1060983,27/11/2022 12:48,27/11/2022 12:54,6,27/11/2022,1,E09000006,E02000135,4
gs0zznbsnyl9mb38togs0zhfyq14y2rm,1,Male,40 to 44,Yes,Living on my own (NO children or children have left home),7,The same,Hardly ever or never,Hardly ever or never,To some extent,Tend to agree,Foodbank,Neighbours,,,,,Often true,Often true,Sometimes true,Yes,Almost every month,Yes,Yes,No,No,,,,,,,,,,Low food security,Living in rented accommodation from Housing Association,,Don't know,No,Some months but not every month,1 or 2 months,Never,0,,0,0,,,,,,,,Marginal fuel-security,0,Almost every month,Never,Some months but not every month,,,,,,Not working- long term sick or disabled,,,"Less than £14,900 p.a.",5449032,27/11/2022 14:18,27/11/2022 14:28,10,27/11/2022,1,E09000005,E02000103,3
gvw2fpghvnff7i30iigvw2f3lfwagwz6,1,Female,40 to 44,No,Living with partner/ spouse (NO children or children have left home),7,The same,Often,Some of the time,To some extent,Definitely disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Renting from private landlord,,Don't know,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Some months but not every month,Never,Some months but not every month,Working full-time,,,,,,,,"More than £58,900 p.a.",464303,27/11/2022 13:07,27/11/2022 13:09,2,27/11/2022,1,E09000027,E02000804,10
gwhsnrgy6zjwgwhstuqjaaof5gg41a4e,1,Female,40 to 44,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",8,The same,Hardly ever or never,Hardly ever or never,To a large extent,Tend to agree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Owning the house outright,,Don't know,No,Never,1 or 2 months,Never,0,,0,0,,,,,,,,High fuel-security,0,1 or 2 months,,Some months but not every month,Working full-time,,,,,,,,"£24,301- £37,900 p.a.",6532743,23/11/2022 14:35,23/11/2022 14:39,4,22/11/2022,1,E09000023,E02000678,4
gwuky2wguyhbg6f4ougwuky2xr0q4b5o,1,Female,30 to 34,No,Living on my own (NO children or children have left home),2,The same,Hardly ever or never,Hardly ever or never,To some extent,Tend to agree,Foodbank,Neighbours,,,,,Sometimes true,Sometimes true,Sometimes true,Yes,Some months but not every month,Yes,Yes,Yes,Yes,,,,,,,,,,Very low food security,Living in student accommodation/ student halls,,Don't know,No,Almost every month,Some months but not every month,Some months but not every month,1,45,1,0,,,,,,,,Very low fuel-security,0,Almost every month,Some months but not every month,Some months but not every month,,Working part-time,,,,,,,"£14,901- £24,300 p.a.",3536875,22/11/2022 22:11,22/11/2022 22:16,5,22/11/2022,1,E09000013,E02000387,7
gww05ofgd109t2au93pgww05ulbjglxj,1,Female,25 to 29,No,"Living with other adults that are non-family members, such as friends/ flatmates",8,Better,Hardly ever or never,Hardly ever or never,To a large extent,Tend to agree,,,Close family or friends,Community or faith group,,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Renting from private landlord,,C,No,Never,1 or 2 months,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,Never,Never,Working full-time,,,,,,,,"More than £58,900 p.a.",17383,28/11/2022 22:34,28/11/2022 22:38,4,27/11/2022,1,E09000028,E02000812,5
gx0bei5cfgvpdetepggx0bi998v3wwed,1,Female,40 to 44,No,"Living with other adults that are non-family members, such as friends/ flatmates",5,Better,Often,Some of the time,To some extent,Tend to agree,,Neighbours,Close family or friends,,,Olio,Sometimes true,Sometimes true,Sometimes true,Yes,Some months but not every month,Yes,No,No,No,,,,,,,,,,Low food security,Renting from private landlord,,Don't know,No,Some months but not every month,Almost every month,Never,0,,0,0,,,,,,,,Low fuel-security,0,Some months but not every month,Some months but not every month,Never,Working full-time,,,,,,,,"£14,901- £24,300 p.a.",2545012,22/11/2022 19:46,22/11/2022 19:50,4,22/11/2022,1,E09000019,E02000559,2
gxi19grp8w5rehftlfgxi19yc03qsvdj,1,Female,40 to 44,No,Living with partner/ spouse (NO children or children have left home),6,The same,Some of the time,Some of the time,To a large extent,Definitely agree,,Neighbours,Close family or friends,,,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Owning the house outright,,Don't know,No,Never,Almost every month,Never,0,,0,0,,,,,,,,Marginal fuel-security,0,Never,,Never,,,,,,,,Self Employed,"More than £58,900 p.a.",4674797,22/11/2022 15:32,22/11/2022 15:35,3,22/11/2022,1,E09000005,E02000122,4
gyvr8xobcics1o7ooaq78xkzgyvr8xob,1,Female,55 to 59,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",8,The same,Some of the time,Hardly ever or never,To a large extent,Definitely disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Owning the house outright,,Don't know,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,1 or 2 months,,Never,Working full-time,,,,,,,,Prefer not to say,358658,27/11/2022 18:02,27/11/2022 19:34,92,27/11/2022,1,E09000018,E02006792,6
gzzo1fzpptimkvddft6gzzo1jd481wpr,1,Male,55 to 59,No,Living with partner/ spouse (NO children or children have left home),7,The same,Some of the time,Some of the time,To some extent,Tend to disagree,,Neighbours,,,,,Sometimes true,Never true,Never true,No,,No,No,No,No,,,,,,,,,,Marginal food security,Owning the house outright,,Don't know,No,Never,Some months but not every month,Never,1,10,0,0,,,,,,,,Marginal fuel-security,0,Never,,Some months but not every month,Working full-time,,,,,,,,"£24,301- £37,900 p.a.",6382886,22/11/2022 16:09,22/11/2022 16:15,6,22/11/2022,1,E09000015,E02000456,8
h0js8tbmzibaxfo2npwh0jsm5dckn461,1,Female,55 to 59,Yes,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",7,Worse,Some of the time,Some of the time,To some extent,Tend to disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Owning the house outright,,Don't know,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,1 or 2 months,,Never,,,,,Not working- looking after house/ children,,,Self employed,"£14,901- £24,300 p.a.",2109004,22/11/2022 15:50,22/11/2022 15:57,7,22/11/2022,1,E09000003,E02000034,6
h0opfibnmyylbn5bmrph0opfiykz6e7c,1,Female,45 to 49,No,"Living with other adults that are non-family members, such as friends/ flatmates",8,The same,Some of the time,Some of the time,To some extent,Definitely disagree,Foodbank,,,,,Olio,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Renting from private landlord,,Don't know,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,1 or 2 months,Some months but not every month,Never,,Working part-time,,,,,Student,,"Less than £14,900 p.a.",714624,22/11/2022 16:40,22/11/2022 16:51,11,22/11/2022,1,E09000031,E02000918,5
h0yeztenddj1uvh09wnh0yezrrp4i2yt,1,Female,50 to 54,No,Living on my own (NO children or children have left home),7,The same,Hardly ever or never,Hardly ever or never,To a large extent,Tend to disagree,,,,,None of the above,,Sometimes true,Never true,Never true,No,,No,No,No,No,,,,,,,,,,Marginal food security,Living in rented accommodation arranged by the Local Authority,,Don't know,No,1 or 2 months,Some months but not every month,Never,0,,0,0,,,,,,,,Marginal fuel-security,0,1 or 2 months,1 or 2 months,Never,,,,,,,,Starting up a new business and self employed,"Less than £14,900 p.a.",6166409,22/11/2022 15:33,22/11/2022 15:40,7,22/11/2022,1,E09000031,E02000897,2
h0z5tlpi94igerq8h2aw2qeh0z5tlp4m,1,Female,25 to 29,No,"Living with other adults that are non-family members, such as friends/ flatmates",8,Better,Some of the time,Some of the time,To a large extent,Tend to disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Renting from private landlord,,Don't know,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,1 or 2 months,Never,Never,Working full-time,,,,,,,,"More than £58,900 p.a.",4822047,22/11/2022 15:58,22/11/2022 16:02,4,22/11/2022,1,E09000009,E02000256,7
h1x2gege420zq3w1b6fh1x2geiduiyx6,1,Female,30 to 34,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",7,Better,Hardly ever or never,Some of the time,To some extent,Tend to disagree,Foodbank,,,,,,Often true,Never true,Never true,No,,No,No,No,No,,,,,,,,,,Marginal food security,Living in rented accommodation from Housing Association,,Don't know,No,1 or 2 months,Almost every month,Never,1,10,0,0,,,,,,,,Marginal fuel-security,0,Some months but not every month,Never,Some months but not every month,Working full-time,,,,,,,,"£24,301- £37,900 p.a.",1513650,22/11/2022 16:08,22/11/2022 16:12,4,22/11/2022,1,E09000008,E02000208,3
h2e2ad8kxllgern6oh2e2ad8q80nof4o,1,Male,40 to 44,No,Living with partner/ spouse (NO children or children have left home),9,Better,Hardly ever or never,Hardly ever or never,To some extent,Definitely disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Owning the house outright,,F,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,,Never,Working full-time,,,,,,,,"More than £58,900 p.a.",4010659,22/11/2022 22:22,22/11/2022 22:28,6,22/11/2022,1,E09000003,E02000043,9
h39e0vohlkrujvt9f0h39e0v15hwa4dd,1,Non binary/ other,20 to 24,Yes,"Living with other adults that are non-family members, such as friends/ flatmates",7,Better,Some of the time,Hardly ever or never,To some extent,Definitely disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Renting from private landlord,,B,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,Never,1 or 2 months,,Working part-time,,,,,,,"£24,301- £37,900 p.a.",542470,22/11/2022 15:52,22/11/2022 15:55,3,22/11/2022,1,E09000028,E02000813,4
h3y5xmgl5yl70k5h3y50cgnvjsgjxu0m,1,Female,20 to 24,No,Living with partner/ spouse (NO children or children have left home),7,Better,Hardly ever or never,Some of the time,To a large extent,Definitely disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Renting from private landlord,,Don't know,Don't know,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,Some months but not every month,Never,,,,,,,Student,,"Less than £14,900 p.a.",1357888,22/11/2022 17:08,22/11/2022 17:11,3,22/11/2022,1,E09000013,E02000383,6
h40fdgq6zzafko122phmnakh40foow2f,1,Female,65 to 69,Yes,Living with partner/ spouse (NO children or children have left home),8,Worse,Often,Often,To some extent,Tend to disagree,,,,,None of the above,,Often true,Sometimes true,Often true,Yes,Some months but not every month,Yes,Yes,No,No,,,,,,,,,,Low food security,Renting from private landlord,,Don't know,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Almost every month,Almost every month,1 or 2 months,,,,Retired,,,,,Prefer not to say,6422506,27/11/2022 14:04,27/11/2022 14:11,7,27/11/2022,0,E09000027,E02000790,10
h4jvzd2abbak3f3z0eh4jvzd214rycr7,1,Female,65 to 69,No,Living on my own (NO children or children have left home),5,The same,Some of the time,Hardly ever or never,To a large extent,Definitely agree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Owning the house outright,,Don't know,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,,Never,,,,Retired,,,,,Prefer not to say,6623969,27/11/2022 15:16,27/11/2022 15:21,5,27/11/2022,0,E09000008,E02000235,9
h4q2nzccp8qm7h4q2nzcpgn4n11koh19,1,Female,55 to 59,No,Living with partner/ spouse (NO children or children have left home),9,The same,Hardly ever or never,Hardly ever or never,To a large extent,Definitely agree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Owning the house outright,,Don't know,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,,Never,,Working part-time,,,,,,,"More than £58,900 p.a.",2895288,22/11/2022 17:54,22/11/2022 17:58,4,22/11/2022,1,E09000024,E02000708,10
h5if8fj95e7cny28j9h5ifx1we6tce1r,1,Female,40 to 44,No,"Living with other adults that are non-family members, such as friends/ flatmates",6,Better,Often,Often,To some extent,Definitely disagree,,,,,None of the above,,Never true,Never true,Sometimes true,No,,No,No,No,No,,,,,,,,,,Marginal food security,Renting from private landlord,,Don't know,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,1 or 2 months,Never,Never,Working full-time,,,,,,,,"More than £58,900 p.a.",1307906,23/11/2022 17:07,23/11/2022 17:12,5,22/11/2022,1,E09000030,E02000881,1
h60gjprwr4xyp5xr1h60gj2wj69b1rhu,1,Female,70 to 74,Yes,Living with partner/ spouse (NO children or children have left home),7,The same,Hardly ever or never,Hardly ever or never,To some extent,Tend to agree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Owning the house outright,,Don't know,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,,Never,,,,Retired,,,,,"£24,301- £37,900 p.a.",5459677,03/12/2022 14:20,03/12/2022 14:24,4,03/12/2022,1,E09000004,E02000070,7
h610hr84pyx49lal3042h610h8gmh57d,1,Female,30 to 34,Prefer not to say,Living on my own (NO children or children have left home),7,Better,Often,Some of the time,To some extent,Definitely disagree,,,Close family or friends,,,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Living in rented accommodation arranged by the Local Authority,,Don't know,No,Almost every month,Almost every month,Never,0,,1,0,,,,,,,,Low fuel-security,0,1 or 2 months,Never,Almost every month,,,,,,Not working- long term sick or disabled,,,"Less than £14,900 p.a.",6437182,23/11/2022 13:43,23/11/2022 13:49,6,22/11/2022,1,E09000022,E02000629,4
h63d7hc57h3tanh6a0vieak1v069u5qh,1,Female,20 to 24,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",6,The same,Hardly ever or never,Some of the time,To a large extent,Definitely agree,Foodbank,Neighbours,Close family or friends,,,,Sometimes true,Never true,Often true,Yes,Some months but not every month,Yes,No,Yes,No,,,,,,,,,,Low food security,Living in rented accommodation from Housing Association,,Don't know,No,1 or 2 months,Almost every month,Almost every month,1,15,0,1,,,,,,,,Low fuel-security,0,Almost every month,Almost every month,1 or 2 months,,,,,,,Student,,"Less than £14,900 p.a.",6498455,27/11/2022 14:54,27/11/2022 15:00,6,27/11/2022,1,E09000030,E02000864,2
h6br4gjfb21vyth6brlqc8bf39uinmrq,1,Female,25 to 29,No,"Living with other adults that are non-family members, such as friends/ flatmates",8,The same,Some of the time,Some of the time,To some extent,Definitely disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Renting from private landlord,,Don't know,No,Some months but not every month,Never,Never,0,,0,0,,,,,,,,Marginal fuel-security,0,Some months but not every month,Some months but not every month,1 or 2 months,Working full-time,,,,,,,,"More than £58,900 p.a.",6517007,27/11/2022 12:47,27/11/2022 12:51,4,27/11/2022,1,E09000020,E02000577,2
h7udo4xi3iyg3v3i6h7udfdt9eoxgxcg,1,Male,30 to 34,No,Living with partner/ spouse (NO children or children have left home),8,Better,Some of the time,Hardly ever or never,To a large extent,Tend to disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Renting from private landlord,,B,No,Some months but not every month,Some months but not every month,Never,0,,0,0,,,,,,,,Low fuel-security,0,Never,Some months but not every month,Never,Working full-time,,,,,,,,"More than £58,900 p.a.",1447273,22/11/2022 16:32,22/11/2022 16:54,22,22/11/2022,1,E09000025,E02000726,3
h7x8ruhw0qjkkud1pkph7x8ruudbxlre,1,Female,25 to 29,No,Living with partner/ spouse (NO children or children have left home),7,The same,Some of the time,Some of the time,To a large extent,Definitely disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Renting from private landlord,,Don't know,No,Never,Almost every month,Never,0,,0,0,,,,,,,,Marginal fuel-security,0,Almost every month,Some months but not every month,Never,Working full-time,,,,,,,,"More than £58,900 p.a.",797808,22/11/2022 16:45,22/11/2022 16:48,3,22/11/2022,1,E09000007,E02000178,5
h8pmppxhgrs9xh8pmpe6qwo8osf7dxdt,1,Male,20 to 24,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",4,The same,Often,Often,Not at all,Tend to disagree,Foodbank,,Close family or friends,,,,Often true,Sometimes true,Sometimes true,Yes,Some months but not every month,Yes,Yes,Yes,Yes,,,,,,,,,,Very low food security,Living in rented accommodation from Housing Association,,Don't know,Yes,1 or 2 months,Almost every month,Almost every month,1,2,0,0,,,,,,,,Low fuel-security,0,1 or 2 months,Almost every month,Never,Working full-time,Working part-time,Unemployed,,,,,,Prefer not to say,6209702,22/11/2022 15:35,22/11/2022 15:42,7,22/11/2022,1,E09000029,E02000858,2
hb1ci75yrljm80brhbnoafx962uprpc4,1,Male,35 to 39,No,"Living with other adults that are non-family members, such as friends/ flatmates",6,The same,Some of the time,Some of the time,To some extent,Tend to disagree,,,,,None of the above,,Never true,Never true,Sometimes true,Yes,Only 1 or 2 months,Yes,Yes,No,No,,,,,,,,,,Low food security,Renting from private landlord,,Don't know,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,1 or 2 months,Never,Working full-time,,,,,,,,"More than £58,900 p.a.",969199,27/11/2022 12:59,27/11/2022 13:03,4,27/11/2022,1,E09000008,E02000215,5
hbmhrd54yfhbmn9dc32xf3jdsip2dm6n,1,Female,25 to 29,No,"Living with other adults that are non-family members, such as friends/ flatmates",7,The same,Some of the time,Some of the time,To a large extent,Definitely disagree,,,,,,Olio app,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Renting from private landlord,,Don't know,Yes,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,Never,Never,Working full-time,,,,,,,,"More than £58,900 p.a.",803566,23/11/2022 09:46,23/11/2022 09:50,4,22/11/2022,1,E09000028,E02000809,6
